cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,G,H,D,D,E,E,C,A,H,K,A,A,A,E,F,E,E,D,BI,CL,C,E,M,F,I,KJ,0.311557,0.422197,0.837036,0.267727,0.499798,0.60398453,0.9410978,0.31973058,0.46226,0.41743,0.74337703,0.7582504,0.233856,0.8007696,2424.2676
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,G,H,D,D,C,E,C,D,T,J,A,A,A,K,F,F,I,E,BI,CL,A,AK,BM,I,P,HC,0.480125,0.555782,0.280933,0.373816,0.388783,0.72672224,0.78968126,0.48864,0.46853,0.56081,0.6075,0.5953805,0.751507,0.27050644,1847.4624
A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,A,A,P,I,A,A,B,E,E,G,K,B,AB,DW,E,AS,F,A,K,DJ,0.634734,0.681761,0.440642,0.55523604,0.758711,0.5027887,0.43167263,0.58934,0.4832,0.51111,0.377724,0.366307,0.38950902,0.53966683,1783.3625
A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,D,D,D,B,A,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,F,A,A,C,E,E,G,F,B,BI,CO,A,C,L,E,K,HV,0.478678,0.737068,0.57136,0.327354,0.874863,0.43018517,0.5160811,0.34445,0.42957887,0.45017,0.377724,0.366307,0.342239,0.2833302,3352.3477
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,I,A,A,A,D,E,J,B,B,K,CL,G,E,AD,A,L,GS,0.330514,0.199504,0.54977,0.354893,0.696981,0.2069528,0.2775961,0.24564,0.31945,0.32446,0.204687,0.214808,0.307181,0.8134204,2309.3472
A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,D,A,A,G,G,H,B,B,BI,EB,C,AI,I,A,P,HQ,0.462786,0.681761,0.54977,0.373816,0.482436,0.42248127,0.46264663,0.54236,0.45391,0.47225,0.654669,0.630853,0.363547,0.2971583,2337.6636
A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,K,A,A,A,D,E,I,P,B,BI,CL,C,Q,AN,V,L,CR,0.324129,0.737068,0.506105,0.815505,0.858841,0.240069,0.3402608,0.4679831,0.32865,0.34928,0.207238,0.214808,0.3574,0.5616586,1607.0759
A,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,D,B,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,F,G,A,B,D,E,F,F,K,BI,CL,G,AI,AT,A,M,DJ,0.503312,0.737068,0.762059,0.402922,0.831634,0.77774817,0.6880757,0.60087,0.4648159,0.71775,0.6075,0.612906,0.736269,0.4343365,4503.8164
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,C,E,C,A,D,K,C,A,A,I,G,G,H,A,BI,CO,A,S,BF,A,P,KW,0.480125,0.358319,0.592681,0.62377,0.281143,0.43088216,0.36939356,0.4293,0.37458,0.44467,0.453334,0.44632795,0.246011,0.35553694,684.50006
A,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,B,D,A,B,C,B,B,B,A,A,A,A,A,C,D,D,E,E,A,P,I,I,A,A,D,B,J,B,B,BI,AP,A,F,AE,A,M,GI,0.33342108,0.785784,0.728827,0.373816,0.281143,0.20556954,0.302202,0.31796,0.38249,0.24710768,0.26014,0.255941,0.318646,0.59945166,2073.038
