IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
3095207.0,0.0,0.71,E,6.0,0.0,44.0,50.0,B12,Diesel,3744.0,R93
5091309.5,0.0,0.5176941,B,7.0,2.0,41.0,50.0,B12,Diesel,54.0,R83
2076623.8,0.0,1.0,D,6.0,14.0,53.0,50.0,B1,Diesel,1054.9257,R24
3226763.5,0.0,0.32,D,7.0,2.0,21.0,85.0,B11,Regular,1054.0,R91
4063577.5,0.0,0.24,B,9.446133,13.0,65.0,53.988956,B12,Diesel,86.0,R52
3108359.0,0.0,1.0,D,5.0,3.0,46.0,51.0,B2,Regular,388.0,R93
91466.16,0.0,0.2,E,7.0,10.0,31.0,80.49599,B2,Regular,3624.924,R24
3118320.5,0.0,0.08,D,5.0,9.0,36.0,57.0,B1,Diesel,492.89706,R91
4166478.2,0.0,0.08,C,4.0,0.0,58.0,50.0,B12,Diesel,214.0,R72
1060216.8,0.0,0.07,C,5.0,4.0,41.0,57.0,B5,Regular,165.0,R82
2090758.0,0.0,0.24,C,9.0,0.0,68.05917,50.0,B12,Regular,185.71855,R93
5024447.0,0.0,0.46,C,6.0,1.0,35.0,50.0,B12,Regular,125.0,R91
97085.73,0.0,1.0,B,8.0,2.0,54.0,50.0,B12,Regular,60.383163,R52
4158245.8,0.0,0.08,C,7.0,13.0,51.0,64.0,B2,Regular,269.0,R31
3056527.0,0.0,0.41,D,6.0,9.0,31.0,85.0,B1,Regular,577.99646,R11
2287302.5,0.0,0.95,D,6.0,1.0,64.0,50.0,B12,Regular,1286.6631,R52
41311.285,1.0,1.0,D,7.0,5.0,51.0,50.0,B5,Diesel,721.0,R52
2265483.2,0.0,0.1,E,6.0,6.0,51.0,60.0,B3,Diesel,4334.8486,R82
3003253.2,0.0,0.58,E,5.0,8.0,33.0,50.0,B3,Regular,2399.009,R41
2194048.0,0.0,1.0,D,11.0,14.0,37.0,50.0,B1,Regular,1333.7926,R82
2275233.8,0.0,1.0,F,8.52622,4.0,72.0,50.0,B6,Diesel,27000.0,R11
1007060.25,0.0,0.08,A,4.0,11.0,51.0,50.0,B1,Regular,11.0,R73
6045279.5,0.0,0.4206459,F,9.0,1.0,51.0,50.0,B12,Diesel,27000.0,R11
2104049.5,0.0,0.49,B,7.0,14.0,52.0,50.0,B1,Diesel,68.6,R54
3245398.5,0.0,0.08,C,4.0,6.0,31.0,57.0,B2,Regular,362.6892,R24
4133816.5,0.0,1.0,A,7.0,2.0,46.0,50.0,B1,Diesel,34.0,R24
4011422.2,0.0,1.0,B,6.0,6.8431726,69.0,58.0,B3,Diesel,66.0,R54
6110094.0,0.0,0.05,E,6.0,0.0,50.0,50.0,B12,Diesel,3301.0,R82
4027681.2,0.0,0.08,E,7.0,4.0,27.0,91.50751,B12,Regular,5556.39,R11
4070584.2,0.0,0.2,E,5.0,12.0,39.0,57.0,B1,Diesel,3744.0,R41
119010.77,1.0,0.58,C,10.0,10.0,51.0,50.0,B2,Regular,197.55922,R41
3249662.2,0.0,0.41,C,8.0,9.0,19.01591,76.0,B10,Diesel,153.75037,R53
2262839.5,0.0,1.0,E,9.0,2.0,52.0,50.0,B5,Regular,3471.7625,R24
1044478.4,0.0,0.02,E,4.0,2.0,42.0,50.0,B6,Regular,9307.0,R31
3033867.5,0.0,0.01,E,6.0,10.0,34.0,100.0,B2,Regular,2904.0444,R24
