Age,Year,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P
30.0,1995.0,Jun,3,Saturday,Pontiac,Urban,Thursday,Jun,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
80.0,1994.0,Jan,4,Friday,Chevrolet,Rural,Tuesday,Feb,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,5,400,1,more than 30,more than 30,2 to 4,6 years,over 65,No,No,External,none,no change,1 vehicle,Liability,0
51.0,1994.0,Nov,5,Monday,Mazda,Urban,Friday,Jan,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,9,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,0
50.0,1994.0,Feb,1,Wednesday,Honda,Urban,Friday,Feb,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,9,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,0
48.0,1996.0,May,1,Saturday,Accura,Urban,Wednesday,May,1,Female,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,2,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
52.0,1996.0,Jan,3,Saturday,Honda,Urban,Friday,Jan,3,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,8,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
31.0,1995.0,Nov,4,Friday,Toyota,Urban,Wednesday,Dec,1,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,5,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,0
26.0,1994.0,Jul,1,Wednesday,Pontiac,Rural,Friday,Jul,3,Male,Married,Third Party,Sedan - Collision,Sedan,more than 69000,7,400,4,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision,0
36.0,1995.0,Jun,4,Sunday,Pontiac,Urban,Tuesday,Jun,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,0
40.0,1995.0,Dec,5,Wednesday,Honda,Urban,Friday,Jan,1,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,15,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Liability,0
43.0,1996.0,Apr,4,Sunday,Honda,Rural,Monday,Apr,4,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,0
25.0,1995.0,Nov,5,Friday,Honda,Urban,Tuesday,Nov,2,Female,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,16,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,All Perils,0
39.05327,1995.0,Jan,5,Friday,Pontiac,Urban,Monday,Jan,5,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,8,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,0
30.506374,1994.0,Jun,5,Friday,Honda,Urban,Monday,Jun,5,Male,Single,Third Party,Sedan - Collision,Sedan,more than 69000,3,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,0
51.0,1995.0,Dec,3,Wednesday,Mazda,Urban,Monday,Dec,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,16,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,none,no change,1 vehicle,Collision,1
60.44635,1996.0,May,2,Monday,Honda,Urban,Monday,May,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,7,400,3,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,none,4 to 8 years,2 vehicles,Liability,0
42.0,1996.0,May,1,Thursday,Chevrolet,Urban,Tuesday,May,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
51.0,1996.0,Aug,3,Thursday,Pontiac,Urban,Monday,Aug,3,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,0
0.0,1996.0,Dec,2,Wednesday,Honda,Urban,Tuesday,Feb,3,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,10,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,0
40.0,1995.0,Oct,1,Saturday,Honda,Urban,Tuesday,Oct,4,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,11,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
43.0,1994.0,Aug,3,Tuesday,Pontiac,Rural,Monday,Aug,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,9,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
32.0,1996.0,Dec,1,Tuesday,Mercury,Urban,Friday,Dec,2,Male,Married,Third Party,Sedan - Liability,Sport,40000 to 59000,11,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,0
54.0,1995.0,Oct,2,Monday,Saab,Urban,Tuesday,Oct,1,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,400,4,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Liability,0
32.0,1996.0,Sep,2,Friday,Honda,Rural,Thursday,Sep,2,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,13,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
39.0,1996.0,Jun,1,Wednesday,Chevrolet,Urban,Thursday,Jun,1,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,7,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Liability,0
34.0,1995.0,Jun,2,Friday,Accura,Urban,Monday,Jul,2,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,8,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
57.0,1996.0,Aug,2,Sunday,Pontiac,Urban,Wednesday,Aug,5,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2,700,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,0
39.0,1995.0,Jan,5,Saturday,Toyota,Urban,Wednesday,Jan,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,6,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,0
30.0,1995.0,Jun,3,Monday,Toyota,Urban,Tuesday,Jun,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,14,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
53.0,1995.0,Aug,5,Friday,Chevrolet,Rural,Wednesday,Sep,1,Male,Married,Third Party,Sedan - All Perils,Sedan,more than 69000,13,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,0
37.0,1995.0,Mar,3,Sunday,Honda,Urban,Tuesday,Mar,4,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,0
51.0,1995.0,May,2,Thursday,Toyota,Rural,Monday,Jun,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,14,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,3 to 4,Liability,0
66.407555,1995.0,May,1,Wednesday,Toyota,Urban,Tuesday,May,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,500,4,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,3 to 5,2 to 3 years,1 vehicle,Liability,0
47.0,1994.0,May,3,Wednesday,Mazda,Urban,Tuesday,May,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,9,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,0
53.0,1996.0,May,2,Thursday,Mazda,Urban,Thursday,Jun,4,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,16,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,0
53.0,1995.0,Jul,4,Friday,Toyota,Urban,Wednesday,Nov,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,11,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,0
45.0,1995.0,Dec,2,Sunday,Pontiac,Urban,Friday,Dec,3,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,15,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,0
48.0,1994.0,Dec,2,Friday,Chevrolet,Urban,Friday,Nov,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,11,400,4,more than 30,more than 30,1,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,Collision,0
31.0,1994.0,Nov,5,Thursday,Toyota,Urban,Thursday,Nov,5,Female,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,4,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
29.0,1996.0,Nov,5,Wednesday,Pontiac,Urban,Wednesday,Nov,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
